TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,LOCALITY
Condo for sale,238000,1,1,650,Richmond County
Condo for sale,472000,1,1,700,Queens County
Condo for sale,472000,1,1,700,Queens County
Co-op for sale,210000,2,1,1000,Queens County
Multi-family home for sale,1799000,3,1,5400,Richmond County
Co-op for sale,299999,2,2,1300,Queens County
Co-op for sale,299999,2,2,1300,Queens County
Condo for sale,599000,2,2,1095,Kings County
Condo for sale,12500000,3,2,4000,New York County
Co-op for sale,100000,3,1,512,Queens County
Condo for sale,625000,2,2,995,Queens County
Co-op for sale,279900,1,1,900,Bronx County
Co-op for sale,165000,1,1,875,Bronx County
Condo for sale,625000,2,1,825,Queens County
Co-op for sale,279900,1,1,900,Bronx County
Condo for sale,979000,3,2,1272,Kings County
Co-op for sale,245000,2,1,900,Kings County
Co-op for sale,425000,3,1,450,New York County
Co-op for sale,3695000,2,2,1697,New York County
Condo for sale,28000000,4,4,5000,New York County
Co-op for sale,99000,1,1,850,Bronx County
Condo for sale,1300000,2,2,1140,New York County
Condo for sale,558000,1,1,751,Kings County
Condo for sale,399900,2,2,853,Richmond County
Condo for sale,255500,1,1,950,Richmond County
Condo for sale,9450000,2,3,3918,New York County
Co-op for sale,220000,1,1,500,Kings County
Co-op for sale,399000,2,2,1050,Kings County
Co-op for sale,219999,2,1,800,Bronx County
Co-op for sale,888000,3,2,1600,Queens County
Co-op for sale,150000,3,1,600,Queens County
Condo for sale,354900,2,1,673,Kings County
Co-op for sale,125000,3,1,600,Bronx County
Co-op for sale,2200000,3,3,2195,New York County
Condo for sale,785000,2,2,968,Kings County
Condo for sale,1700000,2,2,1580,Kings County
Co-op for sale,339000,1,1,1085,Kings County
Co-op for sale,189000,1,1,700,Bronx County
House for sale,999999,2,2,1198,New York County
Condo for sale,575000,3,2,877,Queens County
Condo for sale,40000000,5,6,7488,New York County
Co-op for sale,175000,1,1,800,Bronx County
Co-op for sale,285000,1,1,750,Kings County
Co-op for sale,729000,2,2,1700,Queens County
Condo for sale,725000,3,2,1185,Kings County
Co-op for sale,245000,3,1,260,New York County
Condo for sale,455000,2,1,939,Richmond County
Condo for sale,620000,1,1,430,New York County
Condo for sale,849000,3,2,1241,Kings County
Co-op for sale,8995000,5,4,5500,New York County
Condo for sale,2995000,2,2,1452,New York County
Condo for sale,495000,2,1,800,Queens County
Condo for sale,999000,3,1,600,New York County
Co-op for sale,174000,1,1,800,Kings County
Condo for sale,575000,2,2,1253,Queens County
Condo for sale,2000000,1,2,1321,New York County
Co-op for sale,170000,2,1,850,Bronx County
Co-op for sale,1295000,2,2,2100,Kings County
Co-op for sale,209900,1,1,780,Kings County
Co-op for sale,199900,1,1,925,Bronx County
Co-op for sale,289999,1,1,830,Bronx County
Condo for sale,1250000,3,2,1281,New York County
Condo for sale,680000,2,2,1058,Queens County
Co-op for sale,899000,2,2,1300,Kings County
Co-op for sale,169000,1,1,850,Queens County
Co-op for sale,169000,1,1,850,Queens County
Co-op for sale,335000,1,1,756,Kings County
Condo for sale,1495000,2,2,1098,Kings County
Co-op for sale,375000,1,1,500,New York County
Condo for sale,568000,2,2,1253,Queens County
Condo for sale,849000,2,1,720,New York County
Co-op for sale,549000,3,1,1200,Kings County
Condo for sale,9500000,4,4,3655,Kings County
Condo for sale,1100000,2,1,807,Kings County
Condo for sale,3345000,2,2,1875,New York County
Condo for sale,3345000,2,2,1875,New York County
Condo for sale,378888,1,1,718,Richmond County
Condo for sale,750000,3,2,1027,New York County
Condo for sale,850000,1,1,626,Kings County
Co-op for sale,395000,1,1,550,New York County
Co-op for sale,699000,2,1,800,New York County
Condo for sale,2550000,3,2,1525,New York County
Condo for sale,799000,1,1,684,New York County
Co-op for sale,1650000,1,2,1000,New York County
Condo for sale,6750000,3,3,3000,New York County
Condo for sale,1695000,2,2,1117,Kings County
Co-op for sale,249999,2,1,750,Kings County
Condo for sale,2800000,2,2,1188,New York County
Co-op for sale,311000,1,1,780,Kings County
Condo for sale,649000,3,2,804,Kings County
Co-op for sale,159000,1,1,800,Bronx County
Co-op for sale,305000,1,1,750,Kings County
Condo for sale,849500,2,2,975,New York County
Condo for sale,699000,2,2,967,Queens County
Condo for sale,999000,2,2,1262,New York County
Co-op for sale,299000,1,1,750,Kings County
Co-op for sale,279000,2,1,810,Queens County
Co-op for sale,735000,1,1,800,New York County
Co-op for sale,320000,2,2,1200,Bronx County
Co-op for sale,228888,1,1,900,Queens County
Co-op for sale,699000,2,1,1100,Kings County
Co-op for sale,2000000,3,2,1800,New York County
Co-op for sale,538888,3,2,1500,Queens County
Co-op for sale,270000,3,1,275,Kings County
Co-op for sale,149000,1,1,750,Bronx County
Co-op for sale,299999,2,1,863,Bronx County
Co-op for sale,536000,2,2,1200,Bronx County
Co-op for sale,165000,1,1,625,Bronx County
Condo for sale,1475000,2,2,1048,Kings County
Condo for sale,595000,3,1,721,New York County
Multi-family home for sale,750000,1,1,630,New York County
House for sale,638000,3,2,1728,Bronx County
Co-op for sale,239000,1,1,801,Queens County
Townhouse for sale,2900000,3,3,1979,New York County
Condo for sale,749000,1,2,879,Queens County
Townhouse for sale,549999,3,2,1677,Richmond County
Condo for sale,365000,3,2,920,Bronx County
Condo for sale,695000,2,2,845,Kings County
Condo for sale,699000,3,2,1779,Kings County
Co-op for sale,1075000,2,2,1250,New York County
Co-op for sale,165000,3,1,550,Bronx County
Condo for sale,779000,1,1,517,New York County
Condo for sale,1399999,2,2,1041,New York County
Condo for sale,11500000,6,7,4908,New York County
Condo for sale,199999,1,1,750,Kings County
Condo for sale,569000,1,1,490,Queens County
Co-op for sale,183000,1,1,831,Bronx County
Condo for sale,1995000,5,4,3075,Bronx County
Co-op for sale,1850000,5,3,3000,Queens County
Condo for sale,435000,1,1,661,Queens County
Co-op for sale,2250000,3,2,2025,New York County
Condo for sale,799000,2,2,922,New York County
Co-op for sale,205000,1,1,1000,Bronx County
Co-op for sale,575000,3,2,1350,Queens County
Condo for sale,798000,2,2,1190,Queens County
Condo for sale,399000,1,1,616,Queens County
Condo for sale,450000,1,1,776,Richmond County
Co-op for sale,399000,3,2,1492,Queens County
Condo for sale,550000,1,1,720,Queens County
Co-op for sale,549999,3,1,1020,Queens County
Condo for sale,290900,2,1,850,Bronx County
Condo for sale,474900,2,2,1054,Bronx County
Condo for sale,7995000,3,4,2789,Kings County
Condo for sale,480000,1,1,506,Kings County
Condo for sale,275000,2,2,969,Kings County
Co-op for sale,220000,2,1,922,Bronx County
House for sale,1988800,3,4,2071,New York County
Co-op for sale,135000,1,1,792,Queens County
Co-op for sale,468000,2,1,1200,Queens County
Co-op for sale,318000,1,1,748,Queens County
Condo for sale,649000,2,1,705,Queens County
Co-op for sale,3345000,4,4,3000,New York County
Condo for sale,5000000,3,3,2162,New York County
Co-op for sale,1995000,2,2,1200,New York County
Condo for sale,504000,3,2,1004,Bronx County
Co-op for sale,1995000,2,2,1200,New York County
Co-op for sale,319999,1,1,660,Kings County
Condo for sale,999000,3,2,1301,Kings County
Co-op for sale,475000,1,1,950,Queens County
Co-op for sale,249000,2,1,900,Bronx County
Co-op for sale,1495000,3,2,1650,New York County
Co-op for sale,295000,1,2,980,Queens County
Co-op for sale,289000,1,1,750,Kings County
Co-op for sale,187000,4,1,1076,Bronx County
Co-op for sale,689000,3,2,1500,Queens County
Co-op for sale,260000,1,1,800,Kings County
Condo for sale,4200000,3,3,2584,New York County
Condo for sale,749000,1,2,908,Queens County
Condo for sale,700000,3,2,1245,Bronx County
Condo for sale,297000,3,1,600,Kings County
Co-op for sale,455000,1,1,725,New York County
Condo for sale,6500000,3,4,2190,New York County
Co-op for sale,475000,2,2,1150,Kings County
Co-op for sale,259000,1,1,625,Kings County
Co-op for sale,345000,3,2,1100,Bronx County
Co-op for sale,599000,2,2,1350,New York County
Condo for sale,479900,1,1,550,New York County
Co-op for sale,188000,3,1,300,Kings County
Condo for sale,479900,1,1,550,New York County
Condo for sale,875000,2,2,1050,Kings County
Co-op for sale,4400000,3,3,3500,New York County
Co-op for sale,525000,2,1,1300,Kings County
Condo for sale,715000,2,2,1021,Kings County
Condo for sale,17500000,7,4,6300,New York County
Co-op for sale,599000,1,1,755,New York County
Condo for sale,1395000,3,2,1494,New York County
Condo for sale,1181000,2,2,1541,Bronx County
Co-op for sale,439900,2,1,1000,Queens County
Co-op for sale,650000,2,2,1200,Queens County
Co-op for sale,589000,2,2,1100,Kings County
Condo for sale,1499999,2,2,901,New York County
Co-op for sale,1495000,4,4,2600,New York County
Co-op for sale,239000,3,1,450,Kings County
Condo for sale,299900,1,1,525,Bronx County
Co-op for sale,439999,1,2,1215,Queens County
Townhouse for sale,1895000,5,4,2400,Kings County
Co-op for sale,234900,1,1,753,Queens County
Co-op for sale,525000,2,1,1000,Kings County
Co-op for sale,305000,2,1,600,Queens County
Condo for sale,1995000,2,2,1562,New York County
Condo for sale,750000,1,1,943,Kings County
Co-op for sale,175000,1,1,800,Kings County
Co-op for sale,136999,1,1,750,Bronx County
Condo for sale,699000,2,2,1320,Queens County
Co-op for sale,825000,1,1,750,New York County
Condo for sale,4100000,3,4,2200,New York County
Condo for sale,8850000,3,4,5094,New York County
Condo for sale,559000,1,1,830,Kings County
Co-op for sale,379000,2,1,1000,Kings County
Co-op for sale,815000,1,1,630,New York County
Co-op for sale,599000,2,2,1200,Kings County
Co-op for sale,280000,2,2,975,Bronx County
Multi-family home for sale,875000,9,6,5712,Kings County
Condo for sale,2225000,2,2,1420,New York County
Condo for sale,1530000,2,2,1229,Kings County
Co-op for sale,309000,1,2,1074,Queens County
Condo for sale,399000,1,1,561,Kings County
Condo for sale,164999,3,1,400,Richmond County
Co-op for sale,715000,3,1,983,New York County
Co-op for sale,1200000,2,2,1100,Kings County
Co-op for sale,560000,1,1,700,New York County
House for sale,26995000,8,10,8360,New York County
Co-op for sale,255000,1,1,650,Queens County
Co-op for sale,259000,3,1,250,New York County
Co-op for sale,219000,3,1,550,Kings County
Condo for sale,1795000,3,2,1773,New York County
Condo for sale,699000,2,2,1519,New York County
Co-op for sale,425000,3,2,1300,Queens County
Co-op for sale,279999,1,1,790,Kings County
Condo for sale,980000,3,3,1574,Kings County
Co-op for sale,1600000,4,2,2350,New York County
Co-op for sale,309000,1,1,850,Queens County
Condo for sale,950000,3,2,1401,Kings County
Condo for sale,5000000,2,2,2522,New York County
Condo for sale,1390000,4,3,1950,Kings County
Condo for sale,9995000,3,4,2926,New York County
Co-op for sale,529000,2,2,1200,Queens County
Condo for sale,1350000,1,1,850,New York County
Condo for sale,2750000,2,2,1892,New York County
Condo for sale,2095000,2,2,1600,New York County
Co-op for sale,199900,3,1,550,Queens County
Co-op for sale,399990,2,1,1000,Queens County
Co-op for sale,199900,3,1,550,Queens County
Co-op for sale,130000,1,1,720,Bronx County
Condo for sale,690000,2,2,942,Kings County
Co-op for sale,185000,2,1,854,Kings County
Condo for sale,780000,2,2,955,Queens County
Co-op for sale,599000,2,1,1100,New York County
Condo for sale,639999,3,2,1180,Bronx County
Condo for sale,2999999,4,4,3100,New York County
Condo for sale,1150000,2,2,1850,Queens County
Co-op for sale,425000,3,2,1150,Bronx County
Co-op for sale,799000,2,2,1000,New York County
Co-op for sale,475000,1,1,750,Kings County
Co-op for sale,325000,3,1,1200,Kings County
Condo for sale,1200000,2,2,1200,New York County
House for sale,6975000,2,2,3050,New York County
House for sale,2975000,4,4,2968,New York County
Condo for sale,1250000,2,2,1257,Queens County
Co-op for sale,4000000,3,2,2300,New York County
Condo for sale,1175000,1,2,1070,New York County
Condo for sale,1595000,3,2,1375,Kings County
Condo for sale,1338000,3,2,2082,Richmond County
Co-op for sale,349000,2,1,800,Kings County
Condo for sale,12500000,4,4,3550,New York County
Condo for sale,370000,3,1,462,Kings County
Co-op for sale,600000,1,1,715,New York County
Condo for sale,1950000,2,2,1000,New York County
Co-op for sale,2000000,3,2,1800,New York County
Co-op for sale,329999,2,1,950,Bronx County
Co-op for sale,239000,1,1,700,Kings County
Co-op for sale,839000,3,2,1120,New York County
Condo for sale,1439000,4,2,1625,Kings County
Co-op for sale,379000,2,1,900,Queens County
Condo for sale,1439000,4,2,1625,Kings County
Condo for sale,209000,1,1,658,Bronx County
Condo for sale,450000,1,1,724,Kings County
Co-op for sale,4695000,3,4,2600,New York County
Condo for sale,1395000,3,4,2472,New York County
Condo for sale,2995000,4,3,2135,New York County
Co-op for sale,650000,2,1,1060,New York County
Condo for sale,2099000,2,2,1447,Kings County
Co-op for sale,4800000,3,4,3475,New York County
Co-op for sale,299000,1,1,850,Queens County
Co-op for sale,449000,1,2,1213,Queens County
Condo for sale,1250000,3,2,1287,Kings County
Co-op for sale,499000,2,1,900,Kings County
Condo for sale,625000,4,2,1268,Kings County
Condo for sale,625000,4,2,1268,Kings County
Co-op for sale,5495000,3,2,3000,New York County
Co-op for sale,525000,3,1,322,New York County
Co-op for sale,279000,1,1,600,Kings County
Condo for sale,560000,3,1,622,Kings County
Condo for sale,735000,2,2,832,Kings County
Condo for sale,1700000,2,2,1135,New York County
Co-op for sale,295000,2,1,613,New York County
Co-op for sale,625000,1,1,650,New York County
Condo for sale,5700000,3,4,2357,New York County
Co-op for sale,149999,1,1,694,Bronx County
Condo for sale,650000,3,1,550,New York County
Co-op for sale,399000,2,1,1090,Queens County
Co-op for sale,299000,3,1,394,New York County
Condo for sale,239500,1,1,864,Richmond County
Condo for sale,990000,1,1,791,New York County
Condo for sale,990000,1,1,791,New York County
Condo for sale,2300000,1,2,1100,New York County
Condo for sale,350000,1,1,738,Richmond County
Condo for sale,8495000,3,4,4781,New York County
Condo for sale,1895000,3,2,1929,New York County
Co-op for sale,189900,1,1,600,Kings County
Condo for sale,2195000,3,2,1708,New York County
Co-op for sale,229000,1,1,650,Kings County
Condo for sale,5495000,5,4,4014,New York County
Condo for sale,499000,2,1,825,Kings County
Condo for sale,450000,2,1,1249,Queens County
Condo for sale,539000,2,2,821,Kings County
Co-op for sale,99000,1,1,859,Bronx County
Co-op for sale,995000,3,2,1300,New York County
Condo for sale,2550000,3,2,2400,Kings County
Co-op for sale,370000,2,1,800,Kings County
Co-op for sale,289000,1,1,520,Kings County
Condo for sale,340000,1,1,850,Kings County
Condo for sale,15500000,5,5,4193,New York County
Co-op for sale,199999,1,1,550,Kings County
Co-op for sale,799000,2,2,1043,Kings County
Condo for sale,8950000,2,2,2270,New York County
Condo for sale,1295000,2,2,1160,New York County
Co-op for sale,599000,1,1,800,New York County
Condo for sale,593000,2,2,1312,Richmond County
Condo for sale,540000,3,1,509,New York County
Co-op for sale,299000,1,1,800,Queens County
Condo for sale,579000,2,2,750,Queens County
Condo for sale,1995000,2,3,1838,New York County
Co-op for sale,564900,1,1,769,Kings County
Co-op for sale,279999,2,1,666,Kings County
Condo for sale,520000,2,1,741,New York County
Co-op for sale,258000,1,1,650,Kings County
Condo for sale,700000,2,2,1124,Queens County
Condo for sale,500000,1,1,720,New York County
Co-op for sale,375000,1,1,1185,Richmond County
Multi-family home for sale,2700000,24,24,18936,Kings County
Co-op for sale,285000,1,1,900,Kings County
Condo for sale,674999,3,1,1299,Richmond County
Condo for sale,995000,2,2,1030,Kings County
Co-op for sale,239000,1,1,800,Bronx County
Condo for sale,700000,1,2,900,New York County
Condo for sale,450000,3,1,494,Kings County
Condo for sale,3890000,3,4,2446,New York County
Co-op for sale,779000,1,1,800,New York County
Condo for sale,499000,1,1,845,Kings County
Condo for sale,420000,2,1,840,Richmond County
Condo for sale,1750000,3,2,1494,New York County
Co-op for sale,268000,1,1,850,Queens County
Condo for sale,4295000,3,2,2615,New York County
Co-op for sale,213000,3,1,430,Kings County
Co-op for sale,649000,2,2,1500,Queens County
Co-op for sale,439000,2,1,900,Queens County
Co-op for sale,1150000,1,1,984,Kings County
Co-op for sale,318888,1,1,875,Queens County
Co-op for sale,799000,2,2,1549,Queens County
Co-op for sale,489000,2,1,950,Kings County
Co-op for sale,398000,2,1,900,Kings County
Condo for sale,899999,3,3,1750,Queens County
Condo for sale,899999,3,3,1750,Queens County
Condo for sale,1325000,3,2,1597,Kings County
Townhouse for sale,595000,1,2,846,Kings County
Condo for sale,330000,1,1,726,Richmond County
Co-op for sale,345000,2,1,1000,Bronx County
Condo for sale,999000,2,2,1187,Queens County
Co-op for sale,135000,2,1,750,Bronx County
Condo for sale,261250,2,1,857,Bronx County
Condo for sale,728000,3,2,1450,Queens County
Condo for sale,1950000,3,3,1300,New York County
Co-op for sale,600000,2,2,900,New York County
Condo for sale,569000,1,1,739,Kings County
