Region,Month of Period End,Median Sale Price in Thousands,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List as %,Average Sale To List MoM ,Average Sale To List YoY ,Average Listing Price Thousands
 National,January 2013,180.0,-7.0%,13.2%,"309,462",-20.4%,12.8%,"491,549",64.5%,1.4%,"1,671,953",1.0%,-18.4%,79,3,-17,96.8,-0.1%,1.2%,185
 National,February 2013,181.0,0.6%,13.4%,"319,596",3.3%,5.5%,"507,062",3.2%,-2.5%,"1,707,243",2.1%,-17.6%,79,0,-18,97.0,0.2%,1.2%,186
 National,March 2013,193.0,6.8%,13.2%,"416,474",30.3%,6.4%,"608,998",20.1%,-3.1%,"1,751,229",2.6%,-17.2%,70,-9,-22,97.4,0.4%,1.2%,198
 National,April 2013,199.0,3.1%,12.1%,"456,443",9.6%,13.6%,"692,464",13.7%,13.0%,"1,839,272",5.0%,-14.5%,61,-10,-20,97.7,0.3%,1.2%,203
 National,May 2013,209.0,5.0%,12.4%,"529,444",16.0%,14.9%,"707,910",2.2%,15.1%,"1,910,565",3.9%,-11.6%,55,-6,-17,97.9,0.2%,1.1%,213
 National,June 2013,219.0,4.5%,12.8%,"521,830",-1.4%,7.7%,"652,874",-7.8%,12.4%,"1,953,115",2.2%,-8.8%,53,-2,-15,98.1,0.1%,1.0%,223
 National,July 2013,220.0,0.6%,14.6%,"543,210",4.1%,21.3%,"653,010",0.0%,20.0%,"1,981,642",1.5%,-5.8%,53,0,-15,98.0,0.0%,0.9%,224
 National,August 2013,217.0,-1.3%,13.9%,"533,785",-1.7%,10.7%,"615,918",-5.7%,14.1%,"1,981,835",0.0%,-3.0%,54,1,-16,97.8,-0.2%,0.8%,221
 National,September 2013,210.0,-3.3%,12.2%,"445,099",-16.6%,14.2%,"553,990",-10.1%,15.1%,"1,985,566",0.2%,-0.8%,58,4,-14,97.6,-0.3%,0.6%,215
 National,October 2013,210.0,0.0%,13.5%,"444,667",-0.1%,5.8%,"545,224",-1.6%,11.4%,"1,956,466",-1.5%,1.5%,61,2,-13,97.4,-0.2%,0.4%,215
 National,November 2013,208.0,-0.9%,9.9%,"381,160",-14.3%,-3.8%,"408,642",-25.1%,5.4%,"1,855,257",-5.2%,2.3%,64,4,-8,97.2,-0.2%,0.3%,213
 National,December 2013,212.0,1.8%,9.5%,"405,568",6.4%,4.3%,"309,131",-24.4%,3.5%,"1,688,612",-9.0%,2.0%,68,4,-8,97.1,-0.2%,0.2%,218
 National,January 2014,200.0,-5.5%,11.3%,"300,759",-25.8%,-2.8%,"479,082",55.0%,-2.5%,"1,705,685",1.0%,2.0%,76,7,-3,96.8,-0.2%,0.0%,206
 National,February 2014,201.0,0.5%,11.1%,"308,234",2.5%,-3.6%,"494,337",3.2%,-2.5%,"1,740,579",2.0%,2.0%,78,3,-1,97.0,0.2%,0.0%,207
 National,March 2014,210.0,4.1%,8.3%,"389,264",26.3%,-6.5%,"647,133",30.9%,6.3%,"1,810,261",4.0%,3.4%,71,-8,0,97.2,0.2%,-0.1%,216
 National,April 2014,215.0,2.8%,8.0%,"440,415",13.1%,-3.5%,"723,844",11.9%,4.5%,"1,871,577",3.4%,1.8%,60,-11,-1,97.5,0.3%,-0.2%,220
 National,May 2014,222.0,3.1%,6.0%,"503,405",14.3%,-4.9%,"749,684",3.6%,5.9%,"1,943,095",3.8%,1.7%,52,-8,-2,97.7,0.1%,-0.3%,227
 National,June 2014,230.0,3.4%,5.0%,"539,086",7.1%,3.3%,"706,841",-5.7%,8.3%,"2,028,450",4.4%,3.9%,48,-5,-5,97.8,0.1%,-0.3%,235
 National,July 2014,229.0,-0.4%,3.9%,"530,986",-1.5%,-2.3%,"679,416",-3.9%,4.0%,"2,115,178",4.3%,6.7%,46,-2,-7,97.7,-0.1%,-0.3%,234
 National,August 2014,226.0,-1.0%,4.2%,"512,015",-3.6%,-4.1%,"605,136",-10.9%,-1.8%,"2,105,305",-0.5%,6.2%,51,5,-3,97.5,-0.2%,-0.4%,231
 National,September 2014,220.0,-2.8%,4.8%,"467,406",-8.7%,5.0%,"578,546",-4.4%,4.4%,"2,088,766",-0.8%,5.2%,57,6,-1,97.3,-0.2%,-0.3%,226
 National,October 2014,219.0,-0.3%,4.4%,"478,110",2.3%,7.5%,"560,352",-3.1%,2.8%,"2,026,544",-3.0%,3.6%,62,5,1,97.1,-0.1%,-0.3%,225
 National,November 2014,220.0,0.4%,5.8%,"376,284",-21.3%,-1.3%,"400,377",-28.5%,-2.0%,"1,902,202",-6.1%,2.5%,64,2,0,97.1,-0.1%,-0.2%,226
 National,December 2014,223.0,1.1%,5.0%,"442,283",17.5%,9.1%,"329,537",-17.7%,6.6%,"1,727,942",-9.2%,2.3%,68,3,-1,97.0,-0.1%,-0.1%,229
 National,January 2015,213.0,-4.2%,6.5%,"307,891",-30.4%,2.4%,"504,989",53.2%,5.4%,"1,726,193",-0.1%,1.2%,76,8,1,96.7,-0.2%,-0.1%,220
 National,February 2015,215.0,0.9%,6.9%,"332,389",8.0%,7.8%,"526,262",4.2%,6.5%,"1,739,622",0.8%,-0.1%,76,0,-2,97.0,0.3%,0.0%,221
 National,March 2015,226.0,4.9%,7.7%,"454,793",36.8%,16.8%,"707,019",34.3%,9.3%,"1,804,264",3.7%,-0.3%,67,-9,-3,97.5,0.4%,0.3%,231
 National,April 2015,232.0,2.8%,7.7%,"491,798",8.1%,11.7%,"795,925",12.6%,10.0%,"1,920,441",6.4%,2.6%,56,-12,-4,97.8,0.4%,0.3%,237
 National,May 2015,239.0,3.1%,7.7%,"540,333",9.9%,7.3%,"780,397",-2.0%,4.1%,"2,006,860",4.5%,3.3%,48,-8,-4,98.0,0.2%,0.3%,243
 National,June 2015,246.0,2.8%,7.0%,"627,399",16.1%,16.4%,"758,551",-2.8%,7.3%,"2,042,125",1.8%,0.7%,45,-3,-3,98.1,0.1%,0.4%,250
 National,July 2015,243.0,-1.2%,6.1%,"618,277",-1.5%,16.4%,"725,786",-4.3%,6.8%,"2,055,793",0.7%,-2.8%,46,0,-1,98.0,-0.1%,0.4%,247
 National,August 2015,240.0,-0.9%,6.2%,"559,515",-9.5%,9.3%,"645,302",-11.1%,6.6%,"2,023,665",-1.6%,-3.9%,47,2,-4,97.9,-0.2%,0.4%,245
 National,September 2015,234.0,-2.7%,6.2%,"521,970",-6.7%,11.7%,"605,861",-6.1%,4.7%,"1,990,128",-1.7%,-4.7%,51,3,-6,97.7,-0.2%,0.4%,239
 National,October 2015,233.0,-0.4%,6.1%,"493,510",-5.5%,3.2%,"569,184",-6.1%,1.6%,"1,915,719",-3.7%,-5.5%,54,4,-8,97.5,-0.2%,0.4%,238
 National,November 2015,235.0,1.0%,6.8%,"391,036",-20.8%,3.9%,"433,109",-23.9%,8.2%,"1,788,597",-6.6%,-6.0%,57,3,-7,97.4,-0.1%,0.3%,241
 National,December 2015,239.0,1.6%,7.3%,"484,797",24.0%,9.6%,"338,482",-21.8%,2.7%,"1,599,195",-10.6%,-7.5%,60,3,-7,97.4,0.0%,0.4%,245
 National,January 2016,229.0,-4.2%,7.3%,"339,353",-30.0%,10.2%,"497,428",47.0%,-1.5%,"1,598,614",0.0%,-7.4%,66,6,-10,97.2,-0.2%,0.5%,235
 National,February 2016,228.0,-0.4%,5.9%,"362,051",6.7%,8.9%,"585,717",17.7%,11.3%,"1,634,965",2.3%,-6.0%,69,2,-8,97.3,0.1%,0.3%,234
 National,March 2016,240.0,5.1%,6.2%,"481,313",32.9%,5.8%,"754,397",28.8%,6.7%,"1,715,417",4.9%,-4.9%,60,-9,-8,97.8,0.5%,0.4%,245
 National,April 2016,246.0,2.6%,6.0%,"521,889",8.4%,6.1%,"777,102",3.0%,-2.4%,"1,789,636",4.3%,-6.8%,49,-11,-7,98.1,0.3%,0.3%,250
 National,May 2016,252.0,2.6%,5.6%,"586,824",12.4%,8.6%,"761,367",-2.0%,-2.4%,"1,827,733",2.1%,-8.9%,43,-6,-5,98.4,0.2%,0.3%,256
 National,June 2016,260.0,3.0%,5.8%,"655,532",11.7%,4.5%,"761,367",0.0%,0.4%,"1,869,263",2.3%,-8.5%,41,-2,-4,98.4,0.1%,0.3%,264
 National,July 2016,257.0,-1.0%,6.0%,"579,911",-11.5%,-6.2%,"683,403",-10.2%,-5.8%,"1,883,340",0.8%,-8.4%,42,1,-4,98.4,-0.1%,0.3%,261
 National,August 2016,256.0,-0.5%,6.5%,"609,317",5.1%,8.9%,"660,282",-3.4%,2.3%,"1,843,289",-2.1%,-8.9%,44,2,-3,98.2,-0.2%,0.3%,260
 National,September 2016,253.0,-1.1%,8.2%,"547,728",-10.1%,4.9%,"614,924",-6.9%,1.5%,"1,821,146",-1.2%,-8.5%,47,3,-3,98.0,-0.2%,0.3%,258
 National,October 2016,252.0,-0.4%,8.3%,"498,481",-9.0%,1.0%,"542,313",-11.8%,-4.7%,"1,737,714",-4.6%,-9.3%,50,3,-4,97.9,-0.1%,0.4%,257
 National,November 2016,255.0,1.2%,8.5%,"472,806",-5.2%,20.9%,"443,984",-18.1%,2.5%,"1,604,516",-7.7%,-10.3%,51,1,-6,97.8,-0.1%,0.4%,260
 National,December 2016,255.0,0.0%,6.7%,"493,622",4.4%,1.8%,"331,975",-25.2%,-1.9%,"1,418,812",-11.6%,-11.3%,55,4,-5,97.7,-0.1%,0.3%,261
 National,January 2017,247.0,-3.1%,7.9%,"358,087",-27.5%,5.5%,"506,865",52.7%,1.9%,"1,409,769",-0.6%,-11.8%,60,5,-6,97.5,-0.1%,0.3%,253
 National,February 2017,248.0,0.3%,8.7%,"365,319",2.0%,0.9%,"569,802",12.4%,-2.7%,"1,440,532",2.2%,-11.9%,60,0,-8,97.7,0.2%,0.4%,253
 National,March 2017,258.0,4.3%,7.8%,"528,786",44.7%,9.9%,"767,393",34.7%,1.7%,"1,517,658",5.4%,-11.5%,50,-10,-9,98.1,0.4%,0.3%,262
 National,April 2017,263.0,1.8%,6.9%,"512,104",-3.2%,-1.9%,"728,100",-5.1%,-6.3%,"1,581,542",4.2%,-11.6%,41,-9,-8,98.5,0.4%,0.4%,267
 National,May 2017,269.0,2.4%,6.7%,"624,453",21.9%,6.4%,"804,658",10.5%,5.7%,"1,640,751",3.7%,-10.2%,37,-4,-6,98.7,0.2%,0.3%,272
 National,June 2017,278.0,3.2%,6.9%,"686,359",9.9%,4.7%,"785,157",-2.4%,3.1%,"1,698,031",3.5%,-9.2%,35,-2,-6,98.8,0.1%,0.3%,281
 National,July 2017,274.0,-1.5%,6.4%,"586,113",-14.6%,1.1%,"688,857",-12.3%,0.8%,"1,707,915",0.6%,-9.3%,36,1,-6,98.7,-0.1%,0.3%,277
 National,August 2017,272.0,-0.7%,6.1%,"623,675",6.4%,2.4%,"680,362",-1.2%,3.0%,"1,685,407",-1.3%,-8.6%,39,3,-5,98.5,-0.2%,0.3%,276
 National,September 2017,269.0,-1.1%,6.2%,"531,093",-14.8%,-3.0%,"591,038",-13.1%,-3.9%,"1,660,648",-1.5%,-8.8%,42,3,-5,98.3,-0.2%,0.3%,273
 National,October 2017,268.0,-0.1%,6.5%,"522,434",-1.6%,4.8%,"575,267",-2.7%,6.1%,"1,587,232",-4.4%,-8.7%,44,2,-6,98.2,-0.1%,0.3%,272
 National,November 2017,271.0,1.0%,6.3%,"491,363",-5.9%,3.9%,"459,652",-20.1%,3.5%,"1,462,260",-7.9%,-8.9%,46,2,-5,98.1,-0.1%,0.3%,276
 National,December 2017,272.0,0.2%,6.5%,"494,765",0.7%,0.2%,"327,258",-28.8%,-1.4%,"1,285,157",-12.1%,-9.4%,51,4,-4,98.0,-0.1%,0.3%,277
 National,January 2018,265.0,-2.5%,7.1%,"360,475",-27.1%,0.7%,"506,201",54.7%,-0.1%,"1,275,759",-0.7%,-9.5%,54,3,-6,97.8,-0.2%,0.3%,270
 National,February 2018,269.0,1.6%,8.5%,"372,100",3.2%,1.9%,"566,885",12.0%,-0.5%,"1,318,011",3.3%,-8.5%,53,0,-7,98.1,0.3%,0.4%,274
 National,March 2018,278.0,3.4%,7.6%,"512,548",37.7%,-3.1%,"728,199",28.5%,-5.1%,"1,375,430",4.4%,-9.4%,45,-8,-5,98.5,0.4%,0.4%,282
 National,April 2018,282.0,1.6%,7.4%,"535,907",4.6%,4.6%,"771,360",5.9%,5.9%,"1,454,407",5.7%,-8.0%,36,-9,-5,98.8,0.3%,0.3%,285
 National,May 2018,288.0,2.2%,7.1%,"623,534",16.4%,-0.1%,"834,381",8.2%,3.7%,"1,558,241",7.1%,-5.0%,33,-3,-5,98.9,0.2%,0.2%,291
 National,June 2018,293.0,1.7%,5.6%,"659,255",5.7%,-3.9%,"779,686",-6.6%,-0.7%,"1,632,096",4.7%,-3.9%,31,-1,-4,98.9,0.0%,0.2%,296
 National,July 2018,288.0,-1.8%,5.2%,"611,945",-7.2%,4.4%,"716,434",-8.1%,4.0%,"1,653,398",1.3%,-3.2%,32,1,-4,98.8,-0.2%,0.1%,291
 National,August 2018,285.0,-1.0%,4.9%,"629,405",2.9%,0.9%,"709,150",-1.0%,4.2%,"1,676,635",1.4%,-0.5%,36,4,-3,98.5,-0.3%,0.0%,289
 National,September 2018,280.0,-1.9%,4.1%,"490,845",-22.0%,-7.6%,"607,378",-14.4%,2.8%,"1,698,516",1.3%,2.3%,39,3,-3,98.3,-0.2%,0.0%,284
 National,October 2018,278.0,-0.5%,3.6%,"523,262",6.6%,0.2%,"609,473",0.3%,5.9%,"1,669,301",-1.7%,5.2%,43,4,-1,98.1,-0.2%,-0.1%,283
 National,November 2018,280.0,0.5%,3.2%,"475,290",-9.2%,-3.3%,"465,910",-23.6%,1.4%,"1,571,676",-5.8%,7.5%,46,3,0,97.9,-0.2%,-0.2%,286
 National,December 2018,279.0,-0.4%,2.6%,"440,929",-7.2%,-10.9%,"318,722",-31.6%,-2.6%,"1,403,398",-10.7%,9.2%,51,5,0,97.7,-0.2%,-0.3%,285
 National,January 2019,273.0,-2.0%,3.2%,"333,027",-24.5%,-7.6%,"533,384",67.4%,5.4%,"1,420,622",1.2%,11.4%,58,7,4,97.5,-0.2%,-0.3%,280
 National,February 2019,276.0,1.2%,2.8%,"371,291",11.5%,-0.2%,"546,352",2.4%,-3.6%,"1,439,775",1.3%,9.2%,59,2,6,97.8,0.3%,-0.3%,282
 National,March 2019,284.0,2.9%,2.3%,"486,157",30.9%,-5.1%,"714,501",30.8%,-1.9%,"1,496,719",4.0%,8.8%,50,-9,5,98.1,0.3%,-0.4%,289
 National,April 2019,290.0,2.1%,2.9%,"546,570",12.4%,2.0%,"786,070",10.0%,1.9%,"1,569,121",4.8%,7.9%,42,-8,5,98.4,0.3%,-0.4%,294
 National,May 2019,299.0,2.9%,3.5%,"641,918",17.4%,2.9%,"839,636",6.8%,0.6%,"1,664,885",6.1%,6.8%,37,-5,4,98.6,0.2%,-0.3%,303
 National,June 2019,303.0,1.5%,3.4%,"620,360",-3.4%,-5.9%,"742,630",-11.6%,-4.8%,"1,704,955",2.4%,4.5%,36,-1,4,98.7,0.1%,-0.3%,306
 National,July 2019,300.0,-1.2%,4.0%,"632,978",2.0%,3.4%,"711,248",-4.2%,-0.7%,"1,690,370",-0.9%,2.2%,36,1,4,98.6,-0.1%,-0.2%,304
 National,August 2019,297.0,-0.8%,4.3%,"624,753",-1.3%,-0.7%,"680,071",-4.4%,-4.1%,"1,670,283",-1.2%,-0.4%,39,2,3,98.4,-0.2%,-0.1%,301
 National,September 2019,293.0,-1.6%,4.6%,"531,265",-15.0%,8.2%,"627,309",-7.8%,3.3%,"1,661,185",-0.5%,-2.2%,42,3,2,98.3,-0.1%,0.0%,298
 National,October 2019,294.0,0.5%,5.6%,"542,331",2.1%,3.6%,"611,373",-2.5%,0.3%,"1,607,769",-3.2%,-3.7%,44,2,1,98.2,-0.1%,0.1%,299
 National,November 2019,295.0,0.4%,5.5%,"479,530",-11.6%,0.9%,"442,362",-27.6%,-5.1%,"1,471,207",-8.5%,-6.4%,45,1,-1,98.1,-0.1%,0.2%,300
 National,December 2019,297.0,0.6%,6.6%,"510,337",6.4%,15.7%,"324,464",-26.7%,1.8%,"1,272,043",-13.5%,-9.4%,50,5,-1,98.0,-0.1%,0.2%,303
 National,January 2020,291.0,-2.0%,6.5%,"377,640",-26.0%,13.4%,"533,628",64.5%,0.0%,"1,266,159",-0.5%,-10.9%,56,6,-1,97.7,-0.2%,0.3%,297
 National,February 2020,294.0,1.1%,6.4%,"404,671",7.2%,9.0%,"586,778",10.0%,7.4%,"1,283,125",1.3%,-10.9%,56,-1,-4,98.1,0.4%,0.3%,299
 National,March 2020,304.0,3.2%,6.8%,"506,009",25.0%,4.1%,"669,590",14.1%,-6.3%,"1,339,689",4.4%,-10.5%,44,-11,-6,98.6,0.5%,0.5%,308
 National,April 2020,304.0,0.2%,4.8%,"436,514",-13.7%,-20.1%,"475,526",-29.0%,-39.5%,"1,321,887",-1.3%,-15.8%,36,-9,-6,98.8,0.2%,0.4%,307
 National,May 2020,300.0,-1.5%,0.3%,"421,896",-3.3%,-34.3%,"640,585",34.7%,-23.7%,"1,319,357",-0.2%,-20.8%,39,3,2,98.5,-0.3%,-0.1%,304
 National,June 2020,311.0,3.9%,2.6%,"588,083",39.4%,-5.2%,"719,675",12.3%,-3.1%,"1,259,039",-4.6%,-26.2%,39,0,3,98.7,0.2%,0.0%,315
 National,July 2020,324.0,4.0%,8.0%,"703,726",19.7%,11.2%,"760,529",5.7%,6.9%,"1,222,671",-2.9%,-27.7%,35,-4,-1,99.1,0.3%,0.5%,326
 National,August 2020,329.0,1.6%,10.6%,"667,129",-5.2%,6.8%,"719,443",-5.4%,5.8%,"1,176,176",-3.8%,-29.6%,32,-4,-7,99.3,0.2%,0.9%,331
 National,September 2020,333.0,1.2%,13.8%,"664,116",-0.5%,25.0%,"704,523",-2.1%,12.3%,"1,151,713",-2.1%,-30.7%,30,-2,-12,99.4,0.2%,1.2%,335
 National,October 2020,336.0,0.8%,14.2%,"675,876",1.8%,24.6%,"688,549",-2.3%,12.6%,"1,116,196",-3.1%,-30.6%,29,-1,-15,99.5,0.1%,1.4%,337
 National,November 2020,334.0,-0.4%,13.4%,"585,412",-13.4%,22.1%,"486,725",-29.3%,10.0%,"993,611",-11.0%,-32.5%,28,-1,-17,99.6,0.0%,1.5%,335
 National,December 2020,334.0,-0.2%,12.5%,"631,256",7.8%,23.7%,"395,767",-18.7%,22.0%,"830,891",-16.4%,-34.7%,31,4,-19,99.4,-0.2%,1.4%,336
 National,January 2021,331.0,-0.9%,13.8%,"433,198",-31.4%,14.7%,"498,083",25.9%,-6.7%,"776,116",-6.6%,-38.7%,35,3,-22,99.3,0.0%,1.6%,333
 National,February 2021,338.0,2.2%,14.9%,"438,149",1.1%,8.3%,"508,363",2.1%,-13.4%,"730,689",-5.9%,-43.1%,33,-1,-22,99.8,0.4%,1.7%,338
 National,March 2021,355.0,5.0%,16.8%,"588,321",34.3%,16.3%,"703,935",38.5%,5.1%,"726,280",-0.6%,-45.8%,26,-7,-18,100.6,0.8%,2.0%,352
 National,April 2021,371.0,4.5%,21.9%,"621,976",5.7%,42.5%,"763,616",8.5%,60.6%,"783,131",7.8%,-40.8%,19,-7,-16,101.6,1.0%,2.8%,365
 National,May 2021,377.0,1.7%,25.9%,"629,312",1.2%,49.2%,"744,782",-2.5%,16.3%,"804,507",2.7%,-39.0%,16,-3,-22,102.2,0.6%,3.7%,368
 National,June 2021,388.0,2.9%,24.7%,"726,817",15.5%,23.6%,"812,945",9.2%,13.0%,"877,520",9.1%,-30.3%,15,-1,-24,102.5,0.3%,3.8%,378
 National,July 2021,386.0,-0.6%,19.3%,"677,501",-6.8%,-3.7%,"798,490",-1.8%,5.0%,"974,658",11.1%,-20.3%,15,0,-20,102.3,-0.3%,3.2%,377
 National,August 2021,381.0,-1.2%,16.0%,"670,813",-1.0%,0.6%,"723,790",-9.4%,0.6%,"968,822",-0.6%,-17.6%,17,2,-15,101.6,-0.6%,2.4%,375
 National,September 2021,378.0,-0.8%,13.6%,"637,543",-5.0%,-4.0%,"682,523",-5.7%,-3.1%,"975,160",0.7%,-15.3%,19,2,-11,101.0,-0.6%,1.6%,374
 National,October 2021,381.0,0.7%,13.5%,"612,126",-4.0%,-9.4%,"626,097",-8.3%,-9.1%,"925,295",-5.1%,-17.1%,21,2,-8,100.8,-0.3%,1.2%,377
 National,November 2021,384.0,0.8%,14.8%,"591,365",-3.4%,1.0%,"492,478",-21.3%,1.2%,"800,294",-13.5%,-19.5%,23,2,-5,100.6,-0.1%,1.1%,381
 National,December 2021,384.0,-0.1%,14.9%,"596,386",0.8%,-5.5%,"369,561",-25.0%,-6.6%,"650,516",-18.7%,-21.7%,25,2,-6,100.5,-0.1%,1.1%,382
 National,January 2022,378.0,-1.5%,14.3%,"415,471",-30.3%,-4.1%,"461,032",24.8%,-7.4%,"626,680",-3.7%,-19.3%,27,2,-7,100.4,-0.1%,1.1%,376
 National,February 2022,391.0,3.6%,15.8%,"419,404",0.9%,-4.3%,"515,402",11.8%,1.4%,"645,350",3.0%,-11.7%,26,-1,-8,101.3,0.8%,1.5%,385
 National,March 2022,415.0,5.9%,16.8%,"552,218",31.7%,-6.1%,"690,397",34.0%,-1.9%,"705,121",9.3%,-2.9%,21,-5,-5,102.4,1.2%,1.8%,405
 National,April 2022,426.0,2.7%,14.9%,"554,201",0.4%,-10.9%,"721,174",4.5%,-5.6%,"809,364",14.8%,3.3%,18,-3,-1,103.1,0.7%,1.6%,413
 National,May 2022,432.0,1.6%,14.7%,"593,153",7.0%,-5.7%,"771,375",7.0%,3.6%,"931,244",15.1%,15.8%,17,-1,1,103.1,0.0%,0.9%,419
 National,June 2022,429.0,-0.9%,10.5%,"617,785",4.2%,-15.0%,"820,315",6.3%,0.9%,"1,123,743",20.7%,28.1%,18,1,3,102.3,-0.8%,-0.3%,419
 National,July 2022,415.0,-3.2%,7.5%,"528,284",-14.5%,-22.0%,"702,537",-14.4%,-12.0%,"1,238,059",10.2%,27.0%,21,3,6,101.0,-1.2%,-1.2%,410
 National,August 2022,409.0,-1.4%,7.2%,"556,643",5.4%,-17.0%,"620,053",-11.7%,-14.3%,"1,222,774",-1.2%,26.2%,27,5,10,99.9,-1.1%,-1.7%,409
 National,September 2022,405.0,-1.0%,7.0%,"501,485",-9.9%,-21.3%,"568,113",-8.4%,-16.8%,"1,243,203",1.7%,27.5%,32,6,13,99.3,-0.6%,-1.8%,407
 National,October 2022,400.0,-1.2%,5.0%,"439,693",-12.3%,-28.2%,"492,909",-13.2%,-21.3%,"1,221,500",-1.7%,32.0%,35,3,14,98.9,-0.4%,-1.9%,404
 National,November 2022,394.0,-1.4%,2.7%,"386,068",-12.2%,-34.7%,"381,648",-22.6%,-22.5%,"1,138,583",-6.8%,42.3%,38,3,15,98.5,-0.4%,-2.2%,400
 National,December 2022,389.0,-1.5%,1.3%,"386,230",0.0%,-35.2%,"276,055",-27.7%,-25.3%,"989,612",-13.1%,52.1%,44,7,20,98.1,-0.4%,-2.4%,396
 National,January 2023,383.0,-1.5%,1.3%,"279,487",-27.6%,-32.7%,"394,494",42.9%,-14.4%,"952,354",-3.8%,52.0%,52,7,24,97.8,-0.2%,-2.6%,391
 National,February 2023,387.0,1.1%,-1.1%,"331,123",18.5%,-21.0%,"411,964",4.4%,-20.1%,"916,238",-3.8%,42.0%,52,1,27,98.2,0.4%,-3.0%,394
 National,March 2023,401.0,3.5%,-3.3%,"450,727",36.1%,-18.4%,"549,619",33.4%,-20.4%,"928,640",1.4%,31.7%,44,-9,23,98.9,0.6%,-3.6%,405
 National,April 2023,408.0,1.8%,-4.1%,"416,354",-7.6%,-24.9%,"529,852",-3.6%,-26.5%,"935,064",0.7%,15.5%,36,-7,19,99.5,0.6%,-3.6%,410
 National,May 2023,418.0,2.5%,-3.3%,"498,209",19.7%,-16.0%,"601,108",13.4%,-22.1%,"965,170",3.2%,3.6%,31,-5,14,100.0,0.5%,-3.1%,418
 National,June 2023,425.0,1.7%,-0.8%,"525,571",5.5%,-14.9%,"608,405",1.2%,-25.8%,"1,004,558",4.1%,-10.6%,29,-2,11,100.3,0.3%,-2.0%,423
 National,July 2023,422.0,-0.8%,1.7%,"450,578",-14.3%,-14.7%,"545,820",-10.3%,-22.3%,"1,023,954",1.9%,-17.3%,29,0,8,100.1,-0.2%,-0.9%,421
 National,August 2023,420.0,-0.4%,2.8%,"486,213",7.9%,-12.7%,"563,064",3.2%,-9.2%,"1,049,561",2.5%,-14.2%,31,1,4,99.9,-0.3%,0.0%,420
 National,September 2023,412.0,-1.9%,1.8%,"423,931",-12.8%,-15.5%,"525,396",-6.7%,-7.5%,"1,098,138",4.6%,-11.7%,33,2,1,99.5,-0.3%,0.3%,414
