TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,LOCALITY
Condo for sale,699000,1,1.0,616.0,Kings County
Condo for sale,1355000,2,2.0,1002.0,Kings County
Condo for sale,1225000,2,2.0,882.0,Kings County
Co-op for sale,105000,3,1.0,656.0,Bronx County
Co-op for sale,202000,2,1.0,1453.0,Queens County
Co-op for sale,599000,3,1.0,1200.0,Kings County
Condo for sale,235000,2,1.0,860.0,Richmond County
Co-op for sale,105509,1,1.0,650.0,Bronx County
Co-op for sale,395995,2,1.0,1100.0,Bronx County
Co-op for sale,149000,3,1.0,400.0,New York County
Co-op for sale,235000,3,2.0,1400.0,Queens County
Condo for sale,7495000,4,4.0,2888.0,New York County
Co-op for sale,275000,2,1.0,900.0,Bronx County
Condo for sale,189000,1,1.0,730.0,Richmond County
Condo for sale,965000,3,1.0,540.0,Kings County
Condo for sale,2295000,2,2.0,1242.0,New York County
Condo for sale,749000,2,2.0,1300.0,Queens County
Condo for sale,399000,3,1.0,500.0,New York County
Co-op for sale,209000,1,1.0,1078.0,Bronx County
Co-op for sale,280000,3,2.0,1100.0,Bronx County
Co-op for sale,215000,3,1.0,1100.0,Kings County
Co-op for sale,270000,2,2.0,900.0,Queens County
Co-op for sale,375000,2,2.0,1200.0,Bronx County
Condo for sale,27750000,7,8.0,8139.0,New York County
Co-op for sale,300000,2,1.0,900.0,Richmond County
Condo for sale,10500000,3,3.0,2753.0,New York County
Co-op for sale,350000,2,1.0,825.0,Kings County
Condo for sale,699000,2,2.0,833.0,Queens County
Co-op for sale,369000,1,1.0,1470.0,Queens County
Condo for sale,434900,3,2.0,1286.0,Richmond County
Co-op for sale,375000,2,2.0,1350.0,Bronx County
Co-op for sale,549000,2,2.0,1200.0,Queens County
Co-op for sale,219000,3,1.0,1050.0,Kings County
Co-op for sale,298000,3,2.0,1100.0,Bronx County
Condo for sale,379000,1,2.0,704.0,Bronx County
Condo for sale,799999,3,2.0,1200.0,Queens County
Co-op for sale,185000,2,1.0,600.0,New York County
House for sale,899000,2,1.0,1130.0,New York County
Co-op for sale,120000,2,1.0,600.0,Bronx County
Co-op for sale,229000,2,1.0,950.0,Bronx County
Condo for sale,2000000,4,3.0,2000.0,New York County
Condo for sale,50000000,6,6.0,6569.0,New York County
Co-op for sale,239000,2,1.0,798.0,Queens County
Co-op for sale,175849,2,1.0,850.0,Bronx County
Co-op for sale,750000,3,2.0,1750.0,New York County
Co-op for sale,220000,2,1.0,850.0,Bronx County
Co-op for sale,250000,2,1.0,950.0,Kings County
Condo for sale,109500,3,1.0,550.0,Richmond County
Co-op for sale,299000,3,1.0,640.0,New York County
Co-op for sale,279000,3,1.0,550.0,New York County
Condo for sale,478900,1,1.0,554.0,Queens County
Co-op for sale,149000,1,1.0,375.0,New York County
Condo for sale,355000,1,1.0,514.0,Kings County
Co-op for sale,489000,2,2.0,1549.0,Queens County
Condo for sale,2245000,2,3.0,1724.0,New York County
Co-op for sale,315000,1,1.0,850.0,Queens County
Condo for sale,699000,2,2.0,1766.0,Queens County
Co-op for sale,119000,1,1.0,650.0,Bronx County
Co-op for sale,309900,2,1.0,900.0,Bronx County
Co-op for sale,325000,3,1.0,622.0,New York County
Co-op for sale,1900000,3,2.0,2200.0,New York County
House for sale,850000,6,3.0,2280.0,Kings County
Co-op for sale,825000,2,1.0,800.0,Kings County
Co-op for sale,1075000,4,2.0,1800.0,Queens County
House for sale,1950000,5,4.0,4000.0,Bronx County
Condo for sale,578000,2,2.0,900.0,Queens County
Condo for sale,8995000,5,4.0,4373.0,New York County
Condo for sale,629000,3,2.0,1360.0,Kings County
Condo for sale,329900,2,2.0,993.0,Queens County
Condo for sale,2150000,3,1.0,750.0,New York County
Co-op for sale,307000,2,1.0,960.0,Bronx County
Condo for sale,595000,1,1.0,750.0,New York County
Co-op for sale,675000,2,2.0,1200.0,Kings County
House for sale,395000,3,1.0,430.0,New York County
Condo for sale,374900,1,1.0,782.0,Bronx County
Co-op for sale,225000,2,1.0,789.0,Richmond County
Co-op for sale,385000,2,1.0,800.0,Queens County
Co-op for sale,325000,2,1.0,750.0,New York County
Condo for sale,3895000,3,3.0,1884.0,New York County
Co-op for sale,249000,1,1.0,850.0,Bronx County
Co-op for sale,228500,1,1.0,750.0,Queens County
Co-op for sale,335000,2,1.0,745.0,Queens County
Co-op for sale,335000,2,1.0,745.0,Queens County
Condo for sale,720000,3,2.0,1046.0,Kings County
Condo for sale,499999,3,1.0,701.0,Kings County
Townhouse for sale,4250000,3,4.0,3376.0,Kings County
Co-op for sale,659000,3,2.0,1300.0,Bronx County
Co-op for sale,629000,2,2.0,1600.0,Queens County
Condo for sale,698000,2,2.0,824.0,Queens County
Condo for sale,495000,2,1.0,766.0,New York County
Co-op for sale,605000,3,2.0,1500.0,Bronx County
Condo for sale,2099000,3,2.0,1711.0,Kings County
Co-op for sale,575000,3,2.0,1480.0,Kings County
Co-op for sale,379000,2,2.0,1160.0,Kings County
Co-op for sale,250000,1,1.0,900.0,Bronx County
Co-op for sale,1275000,1,1.0,1000.0,New York County
Co-op for sale,950000,2,1.0,1000.0,New York County
Co-op for sale,269000,1,1.0,900.0,Queens County
Co-op for sale,550000,2,1.0,1069.0,Queens County
Co-op for sale,619000,2,2.0,1200.0,Kings County
Condo for sale,1395000,2,2.0,1793.0,New York County
Co-op for sale,499000,2,1.0,686.0,New York County
House for sale,1625000,4,4.0,2743.0,New York County
Co-op for sale,300000,3,1.0,1200.0,Kings County
Co-op for sale,240900,2,1.0,875.0,Bronx County
Co-op for sale,129000,1,1.0,750.0,Bronx County
Co-op for sale,265000,2,1.0,1100.0,Kings County
Co-op for sale,999000,2,1.0,1050.0,New York County
Condo for sale,60000,3,1.0,445.0,New York County
Condo for sale,479000,2,2.0,1008.0,Richmond County
Co-op for sale,450000,3,2.0,1026.0,Queens County
House for sale,879000,2,1.0,1000.0,New York County
Co-op for sale,430000,2,2.0,1200.0,Bronx County
Condo for sale,600000,3,1.0,441.0,New York County
Co-op for sale,329000,1,1.0,750.0,Kings County
Condo for sale,275000,1,1.0,850.0,Kings County
Co-op for sale,1395000,3,3.0,1750.0,New York County
Condo for sale,568000,2,1.0,550.0,Kings County
Condo for sale,568000,2,1.0,550.0,Kings County
Condo for sale,1989000,2,2.0,1274.0,New York County
Co-op for sale,169000,1,1.0,680.0,Kings County
Co-op for sale,124900,1,1.0,676.0,Bronx County
Condo for sale,2200000,3,4.0,1779.0,New York County
Townhouse for sale,588000,4,3.0,2160.0,Bronx County
Co-op for sale,439000,1,1.0,950.0,Richmond County
Townhouse for sale,588000,4,3.0,2160.0,Bronx County
Co-op for sale,385000,1,1.0,900.0,Bronx County
Condo for sale,2700000,3,3.0,1398.0,Kings County
Co-op for sale,349000,2,1.0,900.0,Bronx County
Condo for sale,750000,2,2.0,995.0,Queens County
Co-op for sale,1195000,3,3.0,995.0,Bronx County
Co-op for sale,1750000,3,3.0,995.0,New York County
Co-op for sale,324900,1,1.0,900.0,New York County
Co-op for sale,97500,2,1.0,791.0,Bronx County
Condo for sale,2200000,2,2.0,2035.0,New York County
Co-op for sale,519999,3,2.0,1100.0,Queens County
Co-op for sale,299999,2,1.0,857.0,Bronx County
Condo for sale,1389000,2,2.0,1043.0,New York County
Co-op for sale,319000,2,1.0,925.0,Queens County
Co-op for sale,255000,1,1.0,750.0,Kings County
Co-op for sale,190000,2,1.0,875.0,Bronx County
Co-op for sale,149999,1,1.0,850.0,Bronx County
Co-op for sale,208000,1,1.0,610.0,New York County
Condo for sale,1300000,2,2.0,1100.0,Kings County
Co-op for sale,310000,2,1.0,675.0,Queens County
Co-op for sale,239900,1,1.0,585.0,Queens County
Co-op for sale,257000,3,1.0,450.0,Kings County
Condo for sale,1090000,2,2.0,1860.0,Queens County
Co-op for sale,340000,2,1.0,900.0,Bronx County
Co-op for sale,775000,3,2.0,1880.0,New York County
Condo for sale,1090000,2,2.0,1860.0,Queens County
Co-op for sale,340000,2,1.0,900.0,Bronx County
Co-op for sale,699000,1,1.0,600.0,New York County
Condo for sale,425000,2,2.0,800.0,Bronx County
Co-op for sale,269000,1,1.0,700.0,Queens County
Co-op for sale,550000,3,2.0,1250.0,New York County
Condo for sale,789000,2,2.0,1230.0,Kings County
Co-op for sale,134500,3,1.0,503.0,Bronx County
Condo for sale,3595000,3,3.0,1862.0,New York County
Condo for sale,357000,3,1.0,1100.0,Bronx County
Condo for sale,499000,3,2.0,1156.0,Queens County
Co-op for sale,315000,2,1.0,850.0,Kings County
Condo for sale,595000,3,1.0,660.0,New York County
Co-op for sale,659000,1,1.0,440.0,Kings County
Co-op for sale,398000,3,2.0,1571.0,Queens County
Co-op for sale,249000,3,1.0,500.0,New York County
Co-op for sale,719000,3,2.0,1440.0,Queens County
Co-op for sale,258888,1,1.0,650.0,Kings County
Condo for sale,747000,11,1.0,747.0,New York County
Co-op for sale,385000,2,2.0,1100.0,Bronx County
Co-op for sale,349000,1,1.0,1017.0,Queens County
Condo for sale,238000,1,1.0,650.0,Richmond County
Condo for sale,472000,1,1.0,700.0,Queens County
Condo for sale,472000,1,1.0,700.0,Queens County
Co-op for sale,210000,2,1.0,1000.0,Queens County
Multi-family home for sale,1799000,3,1.0,5400.0,Richmond County
Co-op for sale,299999,2,2.0,1300.0,Queens County
Co-op for sale,299999,2,2.0,1300.0,Queens County
Condo for sale,599000,2,2.0,1095.0,Kings County
Condo for sale,12500000,3,2.0,4000.0,New York County
Co-op for sale,100000,3,1.0,512.0,Queens County
Condo for sale,625000,2,2.0,995.0,Queens County
Co-op for sale,279900,1,1.0,900.0,Bronx County
Co-op for sale,165000,1,1.0,875.0,Bronx County
Condo for sale,625000,2,1.0,825.0,Queens County
Co-op for sale,279900,1,1.0,900.0,Bronx County
Condo for sale,979000,3,2.0,1272.0,Kings County
Co-op for sale,245000,2,1.0,900.0,Kings County
Co-op for sale,425000,3,1.0,450.0,New York County
Co-op for sale,3695000,2,2.0,1697.0,New York County
Condo for sale,28000000,4,4.0,5000.0,New York County
Co-op for sale,99000,1,1.0,850.0,Bronx County
Condo for sale,1300000,2,2.0,1140.0,New York County
Condo for sale,558000,1,1.0,751.0,Kings County
Condo for sale,399900,2,2.0,853.0,Richmond County
Condo for sale,255500,1,1.0,950.0,Richmond County
Condo for sale,9450000,2,3.0,3918.0,New York County
Co-op for sale,220000,1,1.0,500.0,Kings County
Co-op for sale,399000,2,2.0,1050.0,Kings County
Co-op for sale,219999,2,1.0,800.0,Bronx County
Co-op for sale,888000,3,2.0,1600.0,Queens County
Co-op for sale,150000,3,1.0,600.0,Queens County
Condo for sale,354900,2,1.0,673.0,Kings County
Co-op for sale,125000,3,1.0,600.0,Bronx County
Co-op for sale,2200000,3,3.0,2195.0,New York County
Condo for sale,785000,2,2.0,968.0,Kings County
Condo for sale,1700000,2,2.0,1580.0,Kings County
Co-op for sale,339000,1,1.0,1085.0,Kings County
Co-op for sale,189000,1,1.0,700.0,Bronx County
House for sale,999999,2,2.0,1198.0,New York County
Condo for sale,575000,3,2.0,877.0,Queens County
Condo for sale,40000000,5,6.0,7488.0,New York County
Co-op for sale,175000,1,1.0,800.0,Bronx County
Co-op for sale,285000,1,1.0,750.0,Kings County
Co-op for sale,729000,2,2.0,1700.0,Queens County
Condo for sale,725000,3,2.0,1185.0,Kings County
Co-op for sale,245000,3,1.0,260.0,New York County
Condo for sale,455000,2,1.0,939.0,Richmond County
Condo for sale,620000,1,1.0,430.0,New York County
Condo for sale,849000,3,2.0,1241.0,Kings County
Co-op for sale,8995000,5,4.0,5500.0,New York County
Condo for sale,2995000,2,2.0,1452.0,New York County
Condo for sale,495000,2,1.0,800.0,Queens County
Condo for sale,999000,3,1.0,600.0,New York County
Co-op for sale,174000,1,1.0,800.0,Kings County
Condo for sale,575000,2,2.0,1253.0,Queens County
Condo for sale,2000000,1,2.0,1321.0,New York County
Co-op for sale,170000,2,1.0,850.0,Bronx County
Co-op for sale,1295000,2,2.0,2100.0,Kings County
Co-op for sale,209900,1,1.0,780.0,Kings County
Co-op for sale,199900,1,1.0,925.0,Bronx County
Co-op for sale,289999,1,1.0,830.0,Bronx County
Condo for sale,1250000,3,2.0,1281.0,New York County
Condo for sale,680000,2,2.0,1058.0,Queens County
Co-op for sale,899000,2,2.0,1300.0,Kings County
Co-op for sale,169000,1,1.0,850.0,Queens County
Co-op for sale,169000,1,1.0,850.0,Queens County
Co-op for sale,335000,1,1.0,756.0,Kings County
Condo for sale,1495000,2,2.0,1098.0,Kings County
Co-op for sale,375000,1,1.0,500.0,New York County
Condo for sale,568000,2,2.0,1253.0,Queens County
Condo for sale,849000,2,1.0,720.0,New York County
Co-op for sale,549000,3,1.0,1200.0,Kings County
Condo for sale,9500000,4,4.0,3655.0,Kings County
Condo for sale,1100000,2,1.0,807.0,Kings County
Condo for sale,3345000,2,2.0,1875.0,New York County
Condo for sale,3345000,2,2.0,1875.0,New York County
Condo for sale,378888,1,1.0,718.0,Richmond County
Condo for sale,750000,3,2.0,1027.0,New York County
Condo for sale,850000,1,1.0,626.0,Kings County
Co-op for sale,395000,1,1.0,550.0,New York County
Co-op for sale,699000,2,1.0,800.0,New York County
Condo for sale,2550000,3,2.0,1525.0,New York County
Condo for sale,799000,1,1.0,684.0,New York County
Co-op for sale,1650000,1,2.0,1000.0,New York County
Condo for sale,6750000,3,3.0,3000.0,New York County
Condo for sale,1695000,2,2.0,1117.0,Kings County
Co-op for sale,249999,2,1.0,750.0,Kings County
Condo for sale,2800000,2,2.0,1188.0,New York County
Co-op for sale,311000,1,1.0,780.0,Kings County
Condo for sale,649000,3,2.0,804.0,Kings County
Co-op for sale,159000,1,1.0,800.0,Bronx County
Co-op for sale,305000,1,1.0,750.0,Kings County
Condo for sale,849500,2,2.0,975.0,New York County
Condo for sale,699000,2,2.0,967.0,Queens County
Condo for sale,999000,2,2.0,1262.0,New York County
Co-op for sale,299000,1,1.0,750.0,Kings County
Co-op for sale,279000,2,1.0,810.0,Queens County
Co-op for sale,735000,1,1.0,800.0,New York County
Co-op for sale,320000,2,2.0,1200.0,Bronx County
Co-op for sale,228888,1,1.0,900.0,Queens County
Co-op for sale,699000,2,1.0,1100.0,Kings County
Co-op for sale,2000000,3,2.0,1800.0,New York County
Co-op for sale,538888,3,2.0,1500.0,Queens County
Co-op for sale,270000,3,1.0,275.0,Kings County
Co-op for sale,149000,1,1.0,750.0,Bronx County
Co-op for sale,299999,2,1.0,863.0,Bronx County
Co-op for sale,536000,2,2.0,1200.0,Bronx County
Co-op for sale,165000,1,1.0,625.0,Bronx County
Condo for sale,1475000,2,2.0,1048.0,Kings County
Condo for sale,595000,3,1.0,721.0,New York County
Multi-family home for sale,750000,1,1.0,630.0,New York County
House for sale,638000,3,2.0,1728.0,Bronx County
Co-op for sale,239000,1,1.0,801.0,Queens County
Townhouse for sale,2900000,3,3.0,1979.0,New York County
Condo for sale,749000,1,2.0,879.0,Queens County
Townhouse for sale,549999,3,2.0,1677.0,Richmond County
Condo for sale,365000,3,2.0,920.0,Bronx County
Condo for sale,695000,2,2.0,845.0,Kings County
Condo for sale,699000,3,2.0,1779.0,Kings County
Co-op for sale,1075000,2,2.0,1250.0,New York County
Co-op for sale,165000,3,1.0,550.0,Bronx County
Condo for sale,779000,1,1.0,517.0,New York County
Condo for sale,1399999,2,2.0,1041.0,New York County
Condo for sale,11500000,6,7.0,4908.0,New York County
Condo for sale,199999,1,1.0,750.0,Kings County
Condo for sale,569000,1,1.0,490.0,Queens County
Co-op for sale,183000,1,1.0,831.0,Bronx County
Condo for sale,1995000,5,4.0,3075.0,Bronx County
Co-op for sale,1850000,5,3.0,3000.0,Queens County
Condo for sale,435000,1,1.0,661.0,Queens County
Co-op for sale,2250000,3,2.0,2025.0,New York County
Condo for sale,799000,2,2.0,922.0,New York County
Co-op for sale,205000,1,1.0,1000.0,Bronx County
Co-op for sale,575000,3,2.0,1350.0,Queens County
Condo for sale,798000,2,2.0,1190.0,Queens County
Condo for sale,399000,1,1.0,616.0,Queens County
Condo for sale,450000,1,1.0,776.0,Richmond County
Co-op for sale,399000,3,2.0,1492.0,Queens County
Condo for sale,550000,1,1.0,720.0,Queens County
Co-op for sale,549999,3,1.0,1020.0,Queens County
Condo for sale,290900,2,1.0,850.0,Bronx County
Condo for sale,474900,2,2.0,1054.0,Bronx County
Condo for sale,7995000,3,4.0,2789.0,Kings County
Condo for sale,480000,1,1.0,506.0,Kings County
Condo for sale,275000,2,2.0,969.0,Kings County
Co-op for sale,220000,2,1.0,922.0,Bronx County
House for sale,1988800,3,4.0,2071.0,New York County
Co-op for sale,135000,1,1.0,792.0,Queens County
Co-op for sale,468000,2,1.0,1200.0,Queens County
Co-op for sale,318000,1,1.0,748.0,Queens County
Condo for sale,649000,2,1.0,705.0,Queens County
Co-op for sale,3345000,4,4.0,3000.0,New York County
Condo for sale,5000000,3,3.0,2162.0,New York County
Co-op for sale,1995000,2,2.0,1200.0,New York County
Condo for sale,504000,3,2.0,1004.0,Bronx County
Co-op for sale,1995000,2,2.0,1200.0,New York County
Co-op for sale,319999,1,1.0,660.0,Kings County
Condo for sale,999000,3,2.0,1301.0,Kings County
Co-op for sale,475000,1,1.0,950.0,Queens County
Co-op for sale,249000,2,1.0,900.0,Bronx County
Co-op for sale,1495000,3,2.0,1650.0,New York County
Co-op for sale,295000,1,2.0,980.0,Queens County
Co-op for sale,289000,1,1.0,750.0,Kings County
Co-op for sale,187000,4,1.0,1076.0,Bronx County
Co-op for sale,689000,3,2.0,1500.0,Queens County
Co-op for sale,260000,1,1.0,800.0,Kings County
Condo for sale,4200000,3,3.0,2584.0,New York County
Condo for sale,749000,1,2.0,908.0,Queens County
Condo for sale,700000,3,2.0,1245.0,Bronx County
Condo for sale,297000,3,1.0,600.0,Kings County
Co-op for sale,455000,1,1.0,725.0,New York County
Condo for sale,6500000,3,4.0,2190.0,New York County
Co-op for sale,475000,2,2.0,1150.0,Kings County
Co-op for sale,259000,1,1.0,625.0,Kings County
Co-op for sale,345000,3,2.0,1100.0,Bronx County
Co-op for sale,599000,2,2.0,1350.0,New York County
Condo for sale,479900,1,1.0,550.0,New York County
Co-op for sale,188000,3,1.0,300.0,Kings County
Condo for sale,479900,1,1.0,550.0,New York County
Condo for sale,875000,2,2.0,1050.0,Kings County
Co-op for sale,4400000,3,3.0,3500.0,New York County
Co-op for sale,525000,2,1.0,1300.0,Kings County
Condo for sale,715000,2,2.0,1021.0,Kings County
Condo for sale,17500000,7,4.0,6300.0,New York County
Co-op for sale,599000,1,1.0,755.0,New York County
Condo for sale,1395000,3,2.0,1494.0,New York County
Condo for sale,1181000,2,2.0,1541.0,Bronx County
Co-op for sale,439900,2,1.0,1000.0,Queens County
Co-op for sale,650000,2,2.0,1200.0,Queens County
Co-op for sale,589000,2,2.0,1100.0,Kings County
Condo for sale,1499999,2,2.0,901.0,New York County
Co-op for sale,1495000,4,4.0,2600.0,New York County
Co-op for sale,239000,3,1.0,450.0,Kings County
Condo for sale,299900,1,1.0,525.0,Bronx County
Co-op for sale,439999,1,2.0,1215.0,Queens County
Townhouse for sale,1895000,5,4.0,2400.0,Kings County
Co-op for sale,234900,1,1.0,753.0,Queens County
Co-op for sale,525000,2,1.0,1000.0,Kings County
Co-op for sale,305000,2,1.0,600.0,Queens County
Condo for sale,1995000,2,2.0,1562.0,New York County
Condo for sale,750000,1,1.0,943.0,Kings County
Co-op for sale,175000,1,1.0,800.0,Kings County
Co-op for sale,136999,1,1.0,750.0,Bronx County
Condo for sale,699000,2,2.0,1320.0,Queens County
Co-op for sale,825000,1,1.0,750.0,New York County
Condo for sale,4100000,3,4.0,2200.0,New York County
Condo for sale,8850000,3,4.0,5094.0,New York County
Condo for sale,559000,1,1.0,830.0,Kings County
Co-op for sale,379000,2,1.0,1000.0,Kings County
Co-op for sale,815000,1,1.0,630.0,New York County
Co-op for sale,599000,2,2.0,1200.0,Kings County
Co-op for sale,280000,2,2.0,975.0,Bronx County
Multi-family home for sale,875000,9,6.0,5712.0,Kings County
Condo for sale,2225000,2,2.0,1420.0,New York County
Condo for sale,1530000,2,2.0,1229.0,Kings County
Co-op for sale,309000,1,2.0,1074.0,Queens County
Condo for sale,399000,1,1.0,561.0,Kings County
Condo for sale,164999,3,1.0,400.0,Richmond County
Co-op for sale,715000,3,1.0,983.0,New York County
Co-op for sale,1200000,2,2.0,1100.0,Kings County
Co-op for sale,560000,1,1.0,700.0,New York County
House for sale,26995000,8,10.0,8360.0,New York County
Co-op for sale,255000,1,1.0,650.0,Queens County
Co-op for sale,259000,3,1.0,250.0,New York County
Co-op for sale,219000,3,1.0,550.0,Kings County
Condo for sale,1795000,3,2.0,1773.0,New York County
Condo for sale,699000,2,2.0,1519.0,New York County
Co-op for sale,425000,3,2.0,1300.0,Queens County
Co-op for sale,279999,1,1.0,790.0,Kings County
Condo for sale,980000,3,3.0,1574.0,Kings County
Co-op for sale,1600000,4,2.0,2350.0,New York County
Co-op for sale,309000,1,1.0,850.0,Queens County
Condo for sale,950000,3,2.0,1401.0,Kings County
Condo for sale,5000000,2,2.0,2522.0,New York County
Condo for sale,1390000,4,3.0,1950.0,Kings County
Condo for sale,9995000,3,4.0,2926.0,New York County
Co-op for sale,529000,2,2.0,1200.0,Queens County
Condo for sale,1350000,1,1.0,850.0,New York County
Condo for sale,2750000,2,2.0,1892.0,New York County
Condo for sale,2095000,2,2.0,1600.0,New York County
Co-op for sale,199900,3,1.0,550.0,Queens County
Co-op for sale,399990,2,1.0,1000.0,Queens County
Co-op for sale,199900,3,1.0,550.0,Queens County
Co-op for sale,130000,1,1.0,720.0,Bronx County
Condo for sale,690000,2,2.0,942.0,Kings County
Co-op for sale,185000,2,1.0,854.0,Kings County
Condo for sale,780000,2,2.0,955.0,Queens County
Co-op for sale,599000,2,1.0,1100.0,New York County
Condo for sale,639999,3,2.0,1180.0,Bronx County
Condo for sale,2999999,4,4.0,3100.0,New York County
Condo for sale,1150000,2,2.0,1850.0,Queens County
Co-op for sale,425000,3,2.0,1150.0,Bronx County
Co-op for sale,799000,2,2.0,1000.0,New York County
Co-op for sale,475000,1,1.0,750.0,Kings County
Co-op for sale,325000,3,1.0,1200.0,Kings County
Condo for sale,1200000,2,2.0,1200.0,New York County
House for sale,6975000,2,2.0,3050.0,New York County
House for sale,2975000,4,4.0,2968.0,New York County
Condo for sale,1250000,2,2.0,1257.0,Queens County
Co-op for sale,4000000,3,2.0,2300.0,New York County
Condo for sale,1175000,1,2.0,1070.0,New York County
Condo for sale,1595000,3,2.0,1375.0,Kings County
Condo for sale,1338000,3,2.0,2082.0,Richmond County
Co-op for sale,349000,2,1.0,800.0,Kings County
Condo for sale,12500000,4,4.0,3550.0,New York County
Condo for sale,370000,3,1.0,462.0,Kings County
Co-op for sale,600000,1,1.0,715.0,New York County
Condo for sale,1950000,2,2.0,1000.0,New York County
Co-op for sale,2000000,3,2.0,1800.0,New York County
Co-op for sale,329999,2,1.0,950.0,Bronx County
Co-op for sale,239000,1,1.0,700.0,Kings County
Co-op for sale,839000,3,2.0,1120.0,New York County
Condo for sale,1439000,4,2.0,1625.0,Kings County
Co-op for sale,379000,2,1.0,900.0,Queens County
Condo for sale,1439000,4,2.0,1625.0,Kings County
Condo for sale,209000,1,1.0,658.0,Bronx County
Condo for sale,450000,1,1.0,724.0,Kings County
Co-op for sale,4695000,3,4.0,2600.0,New York County
